UserID,Nickname,RemarkName,Signature,Region,Gender,Tags,Simulated_Last_Activity_Text,Cleaned_Signature,Segmented_Signature,Sentiment,Segmented_Signature_Str,Cluster_Label,Individual_Keywords
1001,小明,同学-小明,"热爱编程,喜欢旅行和摄影",北京 海淀,男,"技术宅,摄影爱好者",最近在研究Python爬虫和机器学习，下个月计划去云南旅游,热爱编程喜欢旅行和摄影,"['热爱', '编程', '喜欢', '旅行', '摄影']",0.9987961671172063,热爱 编程 喜欢 旅行 摄影,0,"['热爱', '编程', '喜欢']"
1002,猫叔,同事-老王,生活不止眼前的苟且，还有诗和远方。☕️,上海 浦东,男,"文艺,咖啡控",周末去看了新上映的电影《沙丘2》，视觉效果震撼,生活不止眼前的苟且还有诗和远方,"['生活', '不止', '眼前', '苟且', '还有', '远方']",0.9998893903375391,生活 不止 眼前 苟且 还有 远方,0,"['生活', '不止', '眼前']"
1003,AI小助手,客户-李总,用AI改变世界！寻求AI解决方案合作。,广东 深圳,男,"AI,创业者,工作狂",参加了深圳的AI技术峰会，收获颇丰,用ai改变世界寻求ai解决方案合作,"['ai', '改变', '世界', '寻求', 'ai', '解决方案', '合作']",0.8857556540355216,ai 改变 世界 寻求 ai 解决方案 合作,1,"['ai', '改变', '世界']"
1004,星辰大海,网友-小爱,永远相信美好的事情即将发生✨,四川 成都,女,"积极,美食家",成都的火锅太美味了，又发现一家宝藏小店！,永远相信美好的事情即将发生,"['永远', '相信', '美好', '事情', '即将', '发生']",0.9652121204978642,永远 相信 美好 事情 即将 发生,0,"['永远', '相信', '美好']"
1005,静水流深,家人-表姐,平平淡淡才是真。,浙江 杭州,女,"生活,阅读",在读《百年孤独》，有些章节引人深思。,平平淡淡才是真,['平平淡淡'],0.8392085758567702,平平淡淡,0,['平平淡淡']
1006,代码诗人,技术群-张三,Talk is cheap. Show me the code.,北京 朝阳,男,"编程,开源",刚给GitHub上的一个开源项目贡献了PR。,talk is cheap show me the code,"['talk', 'is', 'cheap', 'show', 'me', 'the', 'code']",0.421874597530976,talk is cheap show me the code,0,"['talk', 'is', 'cheap']"
1007,旅游达人Mary,驴友-Mary,世界那么大，我想去看看。下一站：土耳其！,江苏 南京,女,"旅游,自由行",分享了土耳其卡帕多奇亚的热气球照片。,世界那么大我想去看看下一站土耳其,"['世界', '看看', '一站', '土耳其']",0.9173584154646741,世界 看看 一站 土耳其,1,"['世界', '看看', '一站']"
1008,美食博主小张,吃货群-小张,唯有美食与爱不可辜负。探店进行中...,广东 广州,男,"美食,探店",发布了最新一期广州早茶探店Vlog。,唯有美食与爱不可辜负探店进行中,"['唯有', '美食', '不可', '辜负', '探店', '进行']",0.9241893642077916,唯有 美食 不可 辜负 探店 进行,0,"['唯有', '美食', '不可']"
1009,健身狂魔Leo,健身房-Leo,自律给我自由！今日已完成10公里跑。,上海 静安,男,"健身,运动",打卡健身房，胸肌训练日。,自律给我自由今日已完成10公里跑,"['自律', '自由', '今日', '完成', '公里跑']",0.9774616559647619,自律 自由 今日 完成 公里跑,0,"['自律', '自由', '今日']"
1010,股海明灯,投资群-赵顾问,股市有风险，投资需谨慎。长期价值投资。,北京 西城,男,"投资,股票",分析了大盘走势，认为短期有回调风险。,股市有风险投资需谨慎长期价值投资,"['股市', '风险投资', '需谨慎', '长期', '价值', '投资']",0.9957676182673711,股市 风险投资 需谨慎 长期 价值 投资,0,"['股市', '风险投资', '需谨慎']"
